,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,clusters,cluster
0,153.0,3.575,0.32,0.303,0.303,0.234,0.097,0.365,0,pink
1,154.0,3.36,0.382,0.11,0.173,0.164,0.071,0.313,0,pink
2,141.0,3.794,0.401,0.582,0.181,0.106,0.312,0.061,0,pink
3,145.0,3.632,0.332,0.537,0.255,0.085,0.191,0.036,0,pink
4,154.0,3.203,0.35,0.517,0.361,0.0,0.158,0.025,0,pink
5,95.0,4.959,0.879,0.804,0.813,0.357,0.064,0.143,2,dark purple
6,109.0,4.655,0.955,0.502,0.73,0.319,0.053,0.168,0,pink
7,109.0,4.644,0.996,0.804,0.731,0.381,0.201,0.04,0,pink
8,112.0,4.586,0.916,0.817,0.79,0.419,0.149,0.032,0,pink
9,107.0,4.719,0.947,0.848,0.874,0.383,0.178,0.027,0,pink
10,68.0,5.605,0.939,1.078,0.618,0.286,0.174,0.078,2,dark purple
11,38.0,6.355,1.053,0.833,0.618,0.21,0.162,0.07,1,purple
12,53.0,5.872,1.092,1.146,0.618,0.233,0.069,0.146,2,dark purple
13,84.0,5.295,0.979,1.154,0.687,0.077,0.055,0.135,2,dark purple
14,88.0,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2,dark purple
15,137.0,4.033,0.758,0.86,0.167,0.104,0.071,0.123,0,pink
16,141.0,3.866,0.847,0.664,0.05,0.006,0.084,0.121,0,pink
17,140.0,3.795,0.858,1.104,0.05,0.0,0.098,0.07,0,pink
18,142.0,3.795,0.73,1.125,0.269,0.0,0.079,0.061,0,pink
19,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
20,30.0,6.574,1.054,1.248,0.787,0.45,0.085,0.115,1,purple
21,26.0,6.65,1.151,1.066,0.697,0.423,0.073,0.11,1,purple
22,24.0,6.599,1.185,1.44,0.695,0.495,0.109,0.06,1,purple
23,29.0,6.388,1.073,1.468,0.744,0.57,0.062,0.054,1,purple
24,47.0,6.086,1.092,1.432,0.881,0.471,0.066,0.05,1,purple
25,127.0,4.35,0.768,0.777,0.73,0.198,0.039,0.079,0,pink
26,121.0,4.36,0.861,0.625,0.641,0.14,0.036,0.078,0,pink
27,121.0,4.376,0.901,1.007,0.638,0.198,0.083,0.027,0,pink
28,129.0,4.321,0.816,0.99,0.666,0.26,0.077,0.028,0,pink
29,116.0,4.559,0.85,1.055,0.815,0.283,0.095,0.064,0,pink
30,10.0,7.284,1.334,1.309,0.932,0.651,0.356,0.436,1,purple
31,9.0,7.313,1.444,1.105,0.851,0.568,0.323,0.474,1,purple
32,10.0,7.284,1.484,1.51,0.844,0.602,0.478,0.301,1,purple
33,10.0,7.272,1.34,1.573,0.91,0.647,0.361,0.302,1,purple
34,11.0,7.228,1.372,1.548,1.036,0.557,0.332,0.29,1,purple
35,13.0,7.2,1.337,1.297,0.89,0.624,0.187,0.331,1,purple
36,12.0,7.119,1.45,1.084,0.806,0.544,0.213,0.329,1,purple
37,13.0,7.006,1.487,1.46,0.815,0.568,0.316,0.221,1,purple
38,12.0,7.139,1.341,1.504,0.891,0.617,0.242,0.224,1,purple
39,10.0,7.246,1.376,1.475,1.016,0.532,0.244,0.226,1,purple
