,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,Happiness Category
0,3.575,0.32,0.303,0.303,0.234,0.097,0.365,Not Happy
1,3.36,0.382,0.11,0.173,0.164,0.071,0.313,Not Happy
2,3.794,0.401,0.582,0.181,0.106,0.312,0.061,Not Happy
3,3.632,0.332,0.537,0.255,0.085,0.191,0.036,Not Happy
4,3.203,0.35,0.517,0.361,0.0,0.158,0.025,Not Happy
5,4.959,0.879,0.804,0.813,0.357,0.064,0.143,Moderately Happy
6,4.655,0.955,0.502,0.73,0.319,0.053,0.168,Moderately Happy
7,4.644,0.996,0.804,0.731,0.381,0.201,0.04,Moderately Happy
8,4.586,0.916,0.817,0.79,0.419,0.149,0.032,Moderately Happy
9,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Moderately Happy
10,5.605,0.939,1.078,0.618,0.286,0.174,0.078,Moderately Happy
11,6.355,1.053,0.833,0.618,0.21,0.162,0.07,Happy
12,5.872,1.092,1.146,0.618,0.233,0.069,0.146,Moderately Happy
13,5.295,0.979,1.154,0.687,0.077,0.055,0.135,Moderately Happy
14,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Moderately Happy
15,4.033,0.758,0.86,0.167,0.104,0.071,0.123,Moderately Happy
16,3.866,0.847,0.664,0.05,0.006,0.084,0.121,Not Happy
17,3.795,0.858,1.104,0.05,0.0,0.098,0.07,Not Happy
18,3.795,0.73,1.125,0.269,0.0,0.079,0.061,Not Happy
19,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,Moderately Happy
20,6.574,1.054,1.248,0.787,0.45,0.085,0.115,Happy
21,6.65,1.151,1.066,0.697,0.423,0.073,0.11,Happy
22,6.599,1.185,1.44,0.695,0.495,0.109,0.06,Happy
23,6.388,1.073,1.468,0.744,0.57,0.062,0.054,Happy
24,6.086,1.092,1.432,0.881,0.471,0.066,0.05,Happy
25,4.35,0.768,0.777,0.73,0.198,0.039,0.079,Moderately Happy
26,4.36,0.861,0.625,0.641,0.14,0.036,0.078,Moderately Happy
27,4.376,0.901,1.007,0.638,0.198,0.083,0.027,Moderately Happy
28,4.321,0.816,0.99,0.666,0.26,0.077,0.028,Moderately Happy
29,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Moderately Happy
30,7.284,1.334,1.309,0.932,0.651,0.356,0.436,Happy
31,7.313,1.444,1.105,0.851,0.568,0.323,0.474,Happy
32,7.284,1.484,1.51,0.844,0.602,0.478,0.301,Happy
33,7.272,1.34,1.573,0.91,0.647,0.361,0.302,Happy
34,7.228,1.372,1.548,1.036,0.557,0.332,0.29,Happy
35,7.2,1.337,1.297,0.89,0.624,0.187,0.331,Happy
36,7.119,1.45,1.084,0.806,0.544,0.213,0.329,Happy
37,7.006,1.487,1.46,0.815,0.568,0.316,0.221,Happy
38,7.139,1.341,1.504,0.891,0.617,0.242,0.224,Happy
39,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Happy
40,5.212,1.024,0.938,0.64,0.37,0.161,0.078,Moderately Happy
41,5.291,1.124,0.76,0.545,0.353,0.179,0.056,Moderately Happy
42,5.234,1.154,1.152,0.541,0.398,0.045,0.181,Moderately Happy
43,5.201,1.024,1.161,0.603,0.43,0.031,0.176,Moderately Happy
44,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Moderately Happy
45,5.96,1.324,1.216,0.747,0.455,0.306,0.174,Moderately Happy
46,6.218,1.44,0.944,0.657,0.474,0.258,0.171,Happy
47,6.087,1.488,1.323,0.653,0.537,0.173,0.257,Happy
48,6.105,1.338,1.366,0.698,0.594,0.243,0.123,Happy
49,6.199,1.362,1.368,0.871,0.536,0.255,0.11,Happy
50,4.694,0.398,0.431,0.602,0.408,0.126,0.212,Moderately Happy
